"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","kallisto/D1_R1","kallisto/D2_R1","kallisto/D3_R1","kallisto/V1_R1","kallisto/V2_R1","kallisto/V3_R1"
"1","ENST00000361050.3",36.7767479631041,1.32460701335094e-09,6.09200011510231e-05,12.829648668929,2.56482508076717,0.00110465301863068,6.89056338631894,2.5659297337858,2.56482508076717,0.038008713906806,2.56482508076717,1,"ENSG00000197629","MPEG1",41.7186,40.8402,42.2659,2.77445,2.83829,2.93089
"2","ENST00000369409.8",35.0443540171583,3.2228006499372e-09,7.30789885812717e-05,10.6174380335291,2.12258481101241,0.000902795693420953,7.76721852017513,2.12348760670583,2.12258481101241,0.0342321700183033,2.12258481101241,1,"ENSG00000092621","PHGDH",16.8945,13.7864,13.5779,264.35,281.981,256.678
"3","ENST00000290551.4",34.2823091570758,4.76695365927714e-09,7.30789885812717e-05,7.65897710325496,1.53083985829652,0.000955562354470777,7.24455426455959,1.53179542065099,1.53083985829652,0.0358173903572294,1.53083985829652,1,"ENSG00000159388","BTG2",72.558,68.6881,70.741,9.64238,9.51894,9.08605
"4","ENST00000262878.4",32.6153115400942,1.12326350825403e-08,0.000103320024016222,5.17887712238895,1.03529316542834,0.00048225904945206,7.90508177381653,1.03577542447779,1.03529316542834,0.034124496384878,1.03529316542834,1,"ENSG00000101347","SAMHD1",60.8405,63.4973,62.843,12.0475,12.3216,12.9498
"5","ENST00000423485.5",32.7358105640063,1.05574170546576e-08,0.000103320024016222,7.31169360850105,1.46174092776497,0.000597793935244552,8.098969423332,1.46233872170021,1.46174092776497,0.0341900828713381,1.46174092776497,1,"ENSG00000131747","TOP2A",7.62052,8.45703,8.64463,96.5648,89.4444,99.9534
"6","ENST00000296370.3",31.1573587927169,2.37935656881118e-08,0.000122947644944779,11.856146625453,2.36423381368089,0.0069955114097074,5.7067405614287,2.3712293250906,2.36423381368089,0.0555377336335104,2.36423381368089,1,"ENSG00000163993","S100P",2.98271,2.67062,2.33231,58.2186,55.3921,55.9
"7","ENST00000523944.5",30.9099717470956,2.70279470381118e-08,0.000122947644944779,5.09001546521196,1.01545447846106,0.00254861458133201,7.19757485040057,1.01800309304239,1.01545447846106,0.0360539872462882,1.01545447846106,1,"ENSG00000104738","MCM4",6.11904,5.37159,5.50468,45.4562,43.3301,47.9524
"8","ENST00000303115.7",30.2784467306819,3.74261709731667e-08,0.000122947644944779,20.6232114174962,4.10712736065415,0.0175149228450976,5.04775098078362,4.12464228349924,4.10712736065415,0.0807560325234784,4.10712736065415,1,"ENSG00000168685","IL7R",8.82866,9.33467,9.86578,0.321372,0.254067,0.290933
"9","ENST00000264156.2",31.3473108285666,2.15757335588738e-08,0.000122947644944779,4.19409235978169,0.838055652078876,0.000762819877462369,7.62664588449779,0.83881847195634,0.838055652078876,0.0344739166116503,0.838055652078876,1,"ENSG00000076003","MCM6",10.4809,10.7249,10.0615,72.0893,67.3108,73.0663
"10","ENST00000376588.3",31.0547812556613,2.50847649999417e-08,0.000122947644944779,8.32472583131161,1.6633163001911,0.00162886607122737,8.21595864087133,1.66494516626232,1.6633163001911,0.034353649806983,1.6633163001911,1,"ENSG00000135069","PSAT1",20.4937,24.4274,25.2634,310.066,304.112,321.612
"11","ENST00000332707.9",30.419796764971,3.47958938927916e-08,0.000122947644944779,5.47297906748916,1.09377091736859,0.000824896129243403,7.811082594449,1.09459581349783,1.09377091736859,0.0341840335877492,1.09377091736859,1,"ENSG00000184575","XPOT",5.84501,6.95978,6.50493,55.9299,52.4388,57.0302
"12","ENST00000376414.4",31.0082270088477,2.56937027795106e-08,0.000122947644944779,14.7724778202067,2.95359446202432,0.000901102017027394,7.04680340354973,2.95449556404134,2.95359446202432,0.0369236727646133,2.95359446202432,1,"ENSG00000169508","GPR183",122.837,153.048,166.366,8.30869,7.61496,8.54899
"13","ENST00000624301.3",30.524277873481,3.29714477588081e-08,0.000122947644944779,4.70780998983158,0.939843767134195,0.00171823083212031,6.96174671221005,0.941561997966316,0.939843767134195,0.037490588181946,0.939843767134195,1,"ENSG00000276043","UHRF1",5.26108,4.61478,4.7836,35.5935,35.973,38.352
"14","ENST00000340124.8",30.3549392372704,3.59789657829952e-08,0.000122947644944779,10.0673000879801,2.00819561712585,0.00526440047017546,6.22174328672238,2.01346001759602,2.00819561712585,0.0447628538011684,2.00819561712585,1,"ENSG00000166123","GPT2",1.86167,1.32007,1.40483,26.1197,24.8425,26.0532
"15","ENST00000372224.8",29.6107148588987,5.28121934073471e-08,0.00016192570579982,8.26512836166915,1.64851314713472,0.00451252519910481,6.43406062166157,1.65302567233383,1.64851314713472,0.0421931211605395,1.64851314713472,1,"ENSG00000142945","KIF2C",3.06046,3.4188,2.46211,39.994,39.5621,38.2488
"16","ENST00000380752.9",29.4351174024522,5.78203544938448e-08,0.000166200995220401,7.28031108162658,1.45463942858766,0.00142278773765303,7.64239709411435,1.45606221632532,1.45463942858766,0.0344401741735156,1.45463942858766,1,"ENSG00000139514","SLC7A1",5.03072,3.93708,3.44437,46.338,48.3048,46.0574
"17","ENST00000372827.7",29.1162879548186,6.81615213417799e-08,0.000168743891912133,5.62771997684137,1.1251377173982,0.000406277970069103,7.52550118375025,1.12554399536828,1.1251377173982,0.0347308864275216,1.1251377173982,1,"ENSG00000116985","BMP8B",7.64235,6.35482,5.32466,56.2537,54.9323,57.0065
