Gene,D1,D2,D3,V1,V2,V3
MICAL1,7.40508,6.86333,6.69354,29.5929,25.8653,32.1679
BRCA2,1.13873,0.992085,1.1558,3.8597,3.30618,4.13115
UFC1,155.737,174.979,168.574,107.091,98.9117,103.674
RAB44,3.77635,2.39431,2.60871,15.4362,18.0309,15.1415
PCID2,13.348,12.7778,11.2454,38.1103,41.9949,40.2602
VEGFA,2.61992,1.58337,1.73792,12.6934,15.1637,12.1711
ZCRB1,2.51334,2.44674,3.12014,16.51,12.6514,16.4519
GPR85,8.40199,8.12812,10.8693,3.14392,3.03235,3.42416
CHRDL1,0.417965,0.224938,0.434394,4.89019,5.18083,6.22897
CD68,80.2406,61.0651,57.9623,34.8995,34.4814,35.7431
ACTG1,18.6535,12.994,11.5138,75.9005,77.2612,68.6441
MBOAT7,19.698,14.7412,14.0797,6.68118,6.64612,6.68968
CCR1,46.7744,47.1684,49.7445,32.003,30.3989,32.0506
CLEC2B,5.88989,8.78038,8.32021,1.28279,1.03364,0.993984
ZNF367,0.620317,0.682795,0.970351,6.55642,5.22759,6.00676
BMF,22.4547,18.2667,15.6291,6.79237,7.00115,7.04706
ARMC1,8.32338,8.7313,9.93552,28.2905,26.4732,27.6875
VLDLR,0.86306,1.05363,0.881902,3.69057,3.56641,3.60576
HMGCR,14.1073,15.689,16.7026,49.689,43.9765,46.0429
PPM1G,43.5061,39.4488,38.1677,96.489,92.3343,96.0323
CCR2,27.8631,33.4187,36.0346,14.8147,13.7305,14.1493
SLC17A5,24.2167,24.6316,26.7854,14.5706,15.4979,15.5469
CUX2,0.906884,0.6855,0.500582,4.34755,4.29959,4.24341
NREP,70.5637,75.131,78.8682,191.735,183.479,198.758
RAB11FIP1,7.24569,6.00526,6.82603,2.63789,2.3718,1.82805
SORT1,5.08697,5.30886,4.48628,1.46203,1.78399,1.96203
IDH2,41.2085,31.567,31.4488,102.175,113.119,100.953
ARHGEF3,62.6686,69.6476,72.0485,40.454,39.5417,42.5166
TRIP13,1.904,1.37194,1.2024,9.20819,9.78155,7.93929
UGCG,13.7994,17.3777,18.6712,6.32266,5.59874,6.33576
DDN,0.975982,0.937592,0.804667,4.11593,4.53397,4.56231
DDX39A,24.0112,14.5689,18.0689,96.58,104.547,96.2477
SLC22A15,2.82165,3.09321,3.48577,10.8392,10.115,10.9286
ESCO2,0.8169,1.09053,1.10093,6.34476,5.435,5.73727
FAH,25.1908,24.2225,24.9143,67.8143,77.6596,78.9546
ANP32E,6.84068,3.1644,4.57259,57.3507,52.5407,66.1598
RPA1,12.1015,13.0414,13.4493,33.684,32.5715,35.9073
F11R,35.0517,33.6322,36.6179,23.477,22.7551,24.2222
RAD51AP1,1.81519,1.83752,2.18897,15.0651,12.7351,14.2612
LYN,53.3358,51.0257,51.9436,35.769,33.1324,36.7154
TRIAP1,136.416,168.542,177.581,68.402,66.3307,72.6921
RAD54L,0.46858,0.233423,0.410379,4.99226,7.89291,6.72389
SCG2,3.80691,4.27021,4.46498,0.20655,0.411718,0.294699
TNKS1BP1,2.46775,1.91187,1.68465,7.52032,8.39525,7.44884
LARS,28.2354,34.0172,29.7652,82.2536,84.4137,91.7417
NOL7,26.8781,23.4772,28.4311,76.8853,87.1424,80.6889
THUMPD1,3.92208,4.60636,4.85188,14.4196,14.4189,15.7784
GPX1,482.752,428.416,432.765,256.455,291.706,233.5
TAF11,9.05547,10.9362,11.4218,36.1715,37.4944,35.9568
LMO2,46.4069,58.7602,57.2968,24.279,25.1721,25.9047
PPM1A,1.20547,1.33104,1.54276,5.51959,4.82525,5.49521
ACTG1,571.571,425.95,349.297,2339.22,2561.76,2103.98
BTF3,453.083,536.811,570.249,1692.24,1633.56,1755.36
FIG4,12.7119,13.7513,12.7658,32.609,32.1053,33.0251
CDT1,3.49324,1.91783,1.90348,23.5307,29.1704,21.7586
SGPL1,8.51194,9.20057,8.71455,4.85927,5.36789,5.39735
HSPE1,29.6069,36.3093,30.9292,114.641,99.6669,112.207
SNN,10.2883,8.25873,7.56997,4.27041,4.28498,4.23146
NEMP2,1.42269,1.83781,1.55822,6.01182,5.45788,6.22047
JAGN1,18.908,16.2506,19.4003,49.6003,51.3286,50.0595
STMN1,46.529,50.8382,59.8283,185.134,171.408,181.494
TREM2,36.1888,29.3898,29.4917,10.9718,14.9011,12.7114
RNF114,10.4217,10.6587,11.9134,33.0996,32.6809,36.6303
ADGRG5,15.7672,13.3051,12.1752,7.09433,7.79625,6.53586
TWF1,29.6376,41.8588,39.4186,10.5772,10.1244,9.64109
NRBP1,49.7498,43.8316,42.6277,29.4686,30.7427,28.9211
TYROBP,347.372,248.336,247.981,103.317,122.146,99.4123
