Gene,D1,D2,D3,V1,V2,V3
WDR12,3.90451,3.4737,3.53741,14.0624,13.1266,15.2058
TK1,3.40039,3.36401,2.32714,29.107,33.9326,28.7853
GARS,53.3803,56.9287,61.0749,220.351,212.831,227.059
XRCC1,8.34338,7.24357,6.04011,41.2574,42.692,39.8801
CYP1B1,136.898,156.446,186.401,33.0184,31.2084,33.6868
NMD3,7.06509,7.66619,8.73367,41.5301,40.0805,42.421
NUDT19,7.16295,6.61028,7.10927,28.5425,28.3616,32.881
CDCA8,1.83655,2.17785,1.66348,21.7305,19.2124,19.1502
TUBA1B,237.497,204.677,176.949,908.294,951.678,864.94
WDR76,1.01011,0.950919,1.10961,10.6956,12.3961,10.4851
SLC37A2,31.4777,24.815,24.0411,7.77042,9.06011,8.60729
ASF1B,3.20831,2.60561,2.02775,24.5853,27.8405,23.8265
DKC1,22.7688,23.586,24.4694,83.5137,78.7823,85.4132
SLA,24.7835,27.9584,25.9186,10.28,9.33915,10.7131
GAPT,21.3305,26.0252,26.5618,6.39661,6.04588,5.85767
RAB11FIP1,12.1893,14.7125,13.1567,4.06116,4.18768,4.59148
PECAM1,45.6685,45.2205,42.915,23.8716,22.618,24.2804
P2RX7,6.42017,5.77579,5.23626,21.8754,21.0969,21.2912
PYGL,64.7696,63.8937,61.3458,214.131,195.369,209.552
INSIG1,4.52925,4.07442,4.28216,23.219,23.7788,23.0219
ATRN,23.5802,22.4634,22.4828,12.2802,11.9925,11.7045
ANP32A,24.7205,20.9448,23.0248,96.1458,93.4908,91.4182
XPC,34.3554,33.5057,33.4186,15.9411,16.0305,15.9347
AXL,19.6127,21.0958,20.2533,8.66207,8.32113,7.70042
SNX3,21.1135,23.3569,19.9988,84.2868,82.4212,84.0724
YARS,36.3943,34.078,28.3191,121.425,122.281,117.892
CD300LB,16.4247,13.2835,11.8415,2.67966,3.07342,2.33644
SLC1A4,13.788,11.3607,12.3107,42.7846,43.9458,43.492
ABHD4,15.8909,14.5159,15.0538,4.44575,5.13193,4.00877
FOS,52.7304,48.0728,45.3146,13.4,16.6325,12.541
RRM2,3.29431,5.04187,3.49335,45.6111,43.8061,44.4644
EXOSC8,8.28147,7.27148,10.3077,66.6094,66.5033,74.923
MYBL2,4.22811,2.6638,3.34247,34.7917,35.0979,30.589
NEIL3,1.42936,1.36811,1.82129,14.2786,13.7016,15.1383
EI24,101.305,101.89,110.666,48.0117,44.4475,49.8454
RAB13,143.905,144.307,145.251,72.1875,66.9922,76.1403
BMP2,12.835,13.0646,13.5629,5.02034,4.95061,5.34137
PSMA2,10.5508,14.3934,11.0556,77.8573,73.1837,78.387
DTX4,7.55141,7.63433,5.89473,1.85619,1.99139,1.90131
DSCC1,1.5501,1.33109,1.94752,15.7855,14.5935,15.242
CTPS1,3.37547,3.25667,2.36552,19.5795,19.8724,20.2639
RPA2,8.83894,10.3261,10.9733,56.0907,54.5858,61.8213
NCAPD3,6.52265,5.61311,5.77554,21.1905,20.9718,21.2545
CTNNAL1,1.47791,1.50304,1.84256,14.7997,14.8315,15.2862
GTSE1,0.991473,0.716438,0.822477,8.18901,8.06273,8.3767
TET2,9.43782,9.38736,9.38697,4.34457,3.95511,4.58417
UBE2T,6.55637,7.57389,7.59865,41.4622,46.4513,44.6025
ARSB,16.1631,16.7817,14.9645,7.86685,7.39833,7.64354
CD84,10.6153,13.4858,10.7262,3.36839,2.959,3.57057
AFF3,3.11503,2.90731,2.68609,10.39,9.97916,10.5877
DEPDC1,0.640896,0.747923,0.5878,7.89106,6.36956,6.3374
LMNB1,41.9917,46.9331,44.6084,149.161,148.14,156.326
GSS,10.7763,9.41509,8.8107,37.5815,37.8372,36.1351
SLC25A3,180.792,141.566,164.47,616.453,638.569,661.752
TMEM127,12.8485,11.7986,11.3078,5.75217,5.16886,5.69704
TRIM44,1.63192,1.82374,1.73855,7.53869,6.62976,8.11645
C3AR1,10.5354,11.4352,9.57508,2.29165,1.84118,2.15614
CUL4A,11.0504,12.8346,12.7485,49.74,45.5307,49.7274
GINS2,0.928909,0.822647,0.739457,10.4696,9.52917,9.53452
SHCBP1,5.17132,4.96427,5.02249,18.6136,17.8126,19.4692
SERPINE1,8.5928,7.03469,6.16138,0.586845,0.684591,0.384364
MAD2L1,6.76871,8.47694,8.35357,43.3857,45.6527,44.5437
NCR3LG1,1.57021,1.19601,1.4117,6.64761,6.971,7.45806
ABL2,5.82275,5.68575,5.68146,2.75083,2.51887,2.82976
TRIB3,9.18864,5.69783,5.33485,90.1594,102.002,83.4763
LPXN,91.2644,95.7137,97.639,50.2186,47.0937,49.7111
ERLIN1,10.8757,10.2638,10.1112,48.9995,41.4667,47.1362
LARS2,3.42507,2.8864,2.56691,14.2673,14.4634,13.3986
FTH1,3808.82,3807.76,3910.04,1608.08,1581.31,1597.99
LGALS3,28.9801,29.3642,34.1231,8.2569,8.37582,7.49719
NSD2,1.52653,1.58852,1.49063,9.37751,9.01808,8.36133
IL13RA1,35.4983,40.1213,43.4991,14.5191,13.9306,15.7601
FADS1,1.96857,1.5702,2.23311,13.2496,11.9439,13.8668
CTSS,120.345,122.814,127.941,62.171,63.544,66.7195
PLK1,5.44639,4.89681,3.72336,40.9362,47.2353,34.7653
LBR,14.2171,14.294,17.6471,74.9447,69.4448,73.36
MTHFD1L,31.3125,30.5137,29.8097,85.9157,84.2275,87.7875
BRIP1,0.567974,0.531008,0.476834,3.93646,3.57255,4.16232
S100A6,354.752,331.527,322.586,180.636,193.224,174.328
SLC25A15,2.5718,2.94532,1.86398,21.8947,20.3118,22.9897
CD244,23.1559,23.7043,22.1542,8.18924,8.32547,6.51289
SLC1A5,27.786,19.8465,20.9431,124.954,141.465,118.837
ACSL3,0.557081,0.779874,0.558917,7.75692,7.15203,8.03172
CBX5,5.69259,5.69902,5.41113,15.776,16.0445,17.5029
RRM1,12.8769,13.3535,15.7985,60.3634,56.1788,61.5782
PSIP1,3.37887,4.12355,4.35247,26.7434,22.2654,27.5635
INHBA,0.549038,0.463296,0.620652,4.51284,4.12715,4.88837
SRSF7,3.82964,4.93823,3.43059,29.6818,29.02,33.2608
SMC1A,8.17882,7.71886,7.59451,22.8195,21.7795,22.386
ASPM,0.711704,0.442432,0.534605,5.21137,4.68157,6.18387
SLC16A1,5.73046,6.77323,6.71116,24.8305,24.2747,25.8357
CCT8,177.697,195.872,205.799,724.317,685.052,748.328
CHAF1B,0.486998,0.489042,0.523374,4.83942,5.27571,4.73322
SLC16A1,5.73046,6.77323,6.71116,24.8305,24.2747,25.8357
GPR84,5.41948,3.99202,4.40279,24.1407,25.5504,24.2499
NCALD,30.994,32.239,33.5647,15.6226,15.4704,14.2778
TOMM34,8.56664,6.89297,6.47572,28.338,28.6919,30.4232
LRP11,1.6497,1.76553,1.77119,9.94229,8.70418,10.3601
GLIPR1,26.3834,23.6834,24.2147,3.26191,3.25459,2.7952
SRSF7,34.0482,32.1675,34.6088,109.617,105.63,110.594
RFT1,6.64509,7.32513,6.54105,29.3237,28.9737,29.0429
ARHGAP11A,3.94733,4.36014,4.02448,21.4129,19.7908,22.2168
TMA16,4.64739,4.23696,4.55429,19.3018,18.7979,22.2263
BAG6,7.80739,8.90722,6.57389,0.00015874,2.37E-05,7.73E-05
NCF1C,147.11,100.74,93.4623,26.0439,27.1812,25.4878
CD86,8.29999,10.9124,10.0788,1.7233,1.34314,1.35307
RPL38,701.567,633.983,616.827,1920.54,1991.69,1793.31
CD53,179.77,197.528,191.251,105.381,102.616,102.765
BUB1,2.81728,2.96438,3.12894,31.0657,24.8191,28.9619
CDC20,9.73891,6.34968,6.18533,60.8728,64.9473,55.614
OSTM1,29.7475,31.519,33.6652,14.6678,15.3858,15.4128
UAP1,1.15075,1.15603,1.00784,17.318,15.1199,19.2986
IL6R,47.4985,47.1665,47.1967,27.9977,28.0538,28.1951
PYGL,36.8936,36.2309,41.0118,120.414,125.678,130.948
SEMA6B,6.78995,4.61222,4.30229,0.262102,0.403712,0.397332
MLEC,15.3575,14.19,14.064,40.3176,38.2884,40.4126
AKAP2,8.13304,8.4038,8.6684,27.3074,24.7888,27.5542
DTL,1.47592,1.94473,1.20899,14.9551,12.3823,15.6364
APOL6,2.97963,3.64561,3.0405,12.9837,11.439,12.962
HSP90B1,82.0272,88.3716,96.3619,336.4,296.677,337.954
NCF1B,58.5312,51.72,40.8802,15.2511,15.7122,15.3967
ITGB1,20.0455,23.6376,25.1508,107.96,98.5029,115.141
SPTBN1,2.65243,2.50295,1.98336,9.73593,9.50222,9.28058
FAM72C,1.58204,1.93112,1.79324,15.2665,14.79,13.5508
VIM,752.477,697.18,714.945,385.296,387.461,373.685
WRNIP1,4.54266,4.65861,3.36816,26.8739,23.0781,25.662
ILF2,61.1827,69.9225,67.3207,208.913,202.353,204.506
METAP2,15.7446,20.5399,20.3009,106.177,97.085,102.333
SLC29A1,5.47472,5.96295,5.44758,28.4268,25.9425,30.2678
LAPTM4A,74.2101,84.1253,92.3608,34.3557,31.3304,33.1082
CDCA5,3.55846,2.32775,2.23184,19.9959,22.4416,19.8296
IL32,12.2948,12.3353,10.1716,77.8962,83.065,67.7124
EIF4EBP1,30.4692,25.3209,24.4581,107.253,110.094,106.827
SCPEP1,74.6213,75.2135,75.0754,39.2094,37.168,40.335
TCP1,61.7093,66.5333,70.7309,216.613,203.65,220.001
CD48,7.40067,10.5102,9.34066,55.0197,54.4383,55.6182
ACTG1,182.39,182.872,235.046,965.929,956.335,1011.66
GBP2,34.1823,34.1078,30.837,17.1896,15.3263,14.0838
GLIPR1,21.9962,24.8646,24.2532,5.14477,5.36327,7.09165
SEC63,7.0829,6.97167,6.26356,44.2799,41.4219,45.0653
PMP22,18.1082,19.3233,18.1002,7.50354,7.69221,8.44417
GAS7,27.791,27.2389,21.135,7.56973,8.98898,7.29444
CBX6,2.75602,2.01052,2.06714,9.72639,10.1849,9.52245
KCNE3,2.27054,1.87541,1.73025,10.1201,9.30161,8.89718
FNDC3A,20.4424,25.1908,26.3765,8.35231,8.09023,8.47347
TIMELESS,3.77201,3.8362,3.84242,13.4803,12.8058,13.7443
BEX1,37.1847,33.792,43.1317,155.706,144.642,165.018
NCBP2,13.6279,14.453,14.2532,53.1465,48.6753,56.9195
LONP1,14.5707,9.9404,10.8702,58.0446,62.3399,57.018
TYMS,18.0221,17.9225,21.4949,78.0607,76.4387,82.4706
LAMP2,60.4521,67.6681,64.3023,34.0155,32.554,34.5444
TKTL1,5.61113,5.30014,4.61979,18.2716,18.3552,17.9218
CTSA,68.7012,56.8909,53.869,29.2212,24.1374,26.19
CACUL1,1.00563,0.909146,0.991513,4.15478,3.63638,4.26977
FAM210B,22.1483,23.8543,25.8064,11.4513,10.0179,11
KPNB1,13.855,15.0757,14.6498,44.358,40.2093,45.1887
ATAD2,3.58299,5.06355,4.30451,25.8059,23.7447,28.2342
ENPP2,22.7171,18.3742,18.8728,5.26619,5.73256,7.01267
CTPS1,5.27358,5.06488,5.26517,22.5836,22.2238,23.2952
CARD6,11.9694,14.2696,12.8733,5.73267,5.4236,6.19512
DIAPH3,0.8766,0.461469,0.585066,8.43262,7.14467,8.92107
CTSZ,96.2676,75.9243,67.6766,31.2518,33.7231,34.7729
OAZ1,75.6255,77.0622,85.6278,295.836,340.893,281.195
PLD6,7.93319,6.4807,6.04768,23.4755,23.7557,23.9584
PHLDA1,2.40902,2.52733,2.84962,0.527267,0.560129,0.506014
GLIPR1,9.12716,11.4152,13.8667,1.35314,1.21296,1.82273
VAMP3,48.2146,54.0642,60.2228,22.7331,22.2595,24.0805
XRCC1,4.12568,4.25293,3.75706,20.8078,23.7873,22.7379
OSBP,10.4723,9.73989,9.59991,27.3468,26.1681,26.7018
EI24,79.3404,90.0255,83.619,35.6058,36.5677,30.2589
SNX3,58.8689,67.278,71.2898,253.82,227.127,238.143
PRDX6,48.2845,43.6231,44.1181,120.809,117.202,120.784
PA2G4,49.182,53.4963,51.1508,138.733,137.833,142.363
MAD2L1,0.742025,1.10766,0.791134,6.07462,6.53061,7.2061
SPRYD4,2.8886,2.7581,2.31597,1.06958,1.1344,1.17184
TNFSF9,33.6536,28.1738,28.8065,15.3849,15.5999,14.4502
PPP1R15B,8.78548,9.39353,8.78758,24.9517,24.0095,26.7084
LRG1,84.0914,66.9996,62.0044,32.6759,33.5093,29.6727
SIAH2,3.55933,3.23564,3.22642,12.907,13.4178,13.9813
HSPA13,6.64444,8.35727,8.99641,42.3088,39.6295,43.9447
ATF4,230.679,223.996,197.781,595.178,617.039,577.103
LYZ,669.385,746.291,856.264,278.181,279.397,311.749
PDK1,NA,NA,NA,NA,NA,NA
PARP1,33.9288,33.7944,31.8343,87.2959,80.9248,85.796
HNRNPD,33.4934,30.0396,33.8961,95.9314,104.915,103.761
PREP,27.3674,25.1346,24.4666,64.7272,67.3605,67.9009
OCSTAMP,2.39839,2.59997,2.00656,12.9198,13.2343,11.8282
HMGB1,48.299,48.042,48.6868,159.668,136.743,160.543
PCK2,18.3288,15.868,11.6858,84.488,93.905,81.6313
TGM5,26.7349,29.6702,35.2777,11.1203,10.9004,10.5542
MRPL18,36.2122,39.9938,39.6502,115.127,127.169,119.929
FAM20C,42.1924,29.242,20.5565,1.38535,1.01664,1.33452
FAM20C,42.1924,29.242,20.5565,1.38535,1.01664,1.33452
SUPT16H,24.8138,28.2562,28.1372,85.1021,76.7922,86.0153
FEN1,8.7034,5.52614,5.78747,38.4511,39.2149,38.8452
FTH1,128.055,127.221,161.711,48.433,45.102,53.473
GMPS,14.1611,14.4978,15.6852,45.5128,43.1143,47.3073
CD46,4.14125,4.01382,4.02157,17.5235,16.8756,17.8077
HSD17B12,5.5948,6.7334,7.11907,27.5931,25.322,27.1696
SQLE,23.5791,20.6764,18.9163,63.5013,63.21,57.8433
SLC43A3,32.2272,31.8451,27.5006,98.0324,97.385,91.1979
XAGE1B,53.2777,52.0367,39.7828,18.1253,18.5945,20.3305
CNR2,5.29898,4.96177,4.56178,2.07301,1.98928,2.0794
TRIM9,2.61587,2.47054,2.51408,8.5464,7.67305,8.85045
PA2G4,53.0501,47.9156,47.4844,142.627,145.334,143.743
HIST1H2BD,29.9866,30.9387,33.3968,11.9056,11.4881,10.9703
XAGE1A,53.2777,52.0367,39.7828,18.1253,18.5945,20.3305
HMGCS1,16.9504,19.6625,19.9127,67.4286,67.4174,65.0336
ARPC1A,37.3754,34.8854,29.2317,16.9892,17.0168,17.838
WDR5,10.3161,9.8585,8.43543,27.9701,28.9362,28.2079
FIS1,3.51993,2.27621,1.2404,76.9265,77.4851,76.5978
6-Sep,2.96462,3.17712,3.17296,13.9004,11.0519,12.2625
KNTC1,1.64628,1.85251,1.76584,6.22709,6.09375,6.61678
PTGER4,8.58029,8.063,8.70123,4.04079,4.04286,4.30112
MTHFD2,11.5047,14.7163,13.7774,51.5476,53.1893,59.2283
CKS2,35.0608,36.2605,41.3377,125.87,125.269,130.922
ACAT2,8.4457,9.49811,8.7265,35.0904,33.9959,28.8228
WDR1,30.0169,24.3679,23.5759,72.8362,78.3185,76.2728
KIF22,6.18825,4.71605,3.58796,33.971,37.0479,31.658
